BusinessName,ClosingTime,Capacity,Phone,Address,Location,LocationComment
"TASTES ON THE FLY BOSTON, LLC",2:00 AM,168,NULL,"Logan Airport, Terminal C, East Boston MA","(42.367271, -71.017957)",AN L SHAPE ROOM OF APPROXIMATELY 3000 SQ FT WITH A BAR AND DINING SECTION  KITCHEN AND STORAGE AREA LOCATED IN TERMINAL C.
"MODERN LUNCH, INC.",2:00 AM,218,NULL,"387 Chelsea ST, East Boston MA","(42.3795092, -71.0274669)",Rear entrance at 340 Bennington St; in three rooms and kitchen on first floor; and cellar for stock.
"LUCKY STRIKE JILLIAN'S, L.L.C.",2:00 AM,1675,NULL,"145 Ipswich St, Boston MA","(42.3474016, -71.0944095)",Four rooms on the first floor including kitchen and storage area. Two rooms on second floor including two bathrooms  employee room  bathrooms and pantry. In the entire third floor including kitchen and storage area.  Includes seasonal outdoor patio in front of Premises for
"DA CROSSING, LLC",2:00 AM,100,NULL,"21 Temple PL, Boston MA","(42.3552305, -71.0623355)",A RESTAURANT LOCATED ON THE FIRST FLOOR AND BASEMENT LEVEL WITH ONE MAIN ENTRANCE/EXIT AND ADDITIONAL SIDE EXIT ON THE FIRST FLOOR WITH KITCHEN AND STORAGE IN THE BASEMENT AND WITH A SEASONAL OUTDOOR PATIO LOCATED ON PUBLIC PROPERTY WITH SEATING FOR 8 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - MIDNIG
"BBRG WATERFRONT TR, LLC",1:00 AM,384,NULL,"100 Atlantic AV, Boston MA","(42.361976, -71.0506589)",One room & kitchen first floor with emergency exits to Commercial Wharf & one to Atlantic Ave. with outdoor patio on Atlantic Ave.And on the deck on the Southerly sides of the first floor  one room and kitchen second floor with emergency exits to Commercial Wharf. The capacity of 138 on 1st floor  1
"BBRG NEWBURY TR, LLC",1:00 AM,260,NULL,"26 Exeter ST, Boston MA","(42.3505785, -71.0797686)",IN TWO DINING ROOMS AND CAFE WITH BAR AND SEATING IN GREENHOUSE; KITCHEN AND STORAGE IN REAR.  CAPACITY BREAKDOWN: 215 SEATED  45 STANDING.
"HOST INTERNATIONAL, INC.",1:00 AM,0,NULL,"Logan Airport Terminal C, East Boston MA","(42.367271, -71.017957)",ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN BASEMENT.  TERM. C GATE C28 LOGAN AIRPORT  EAST BOSTON  MA  02128
LES NOUVEAUX RESTAURANTS LLC,1:00 AM,95,NULL,"468 Commonwealth AV, Boston MA","(42.3485564, -71.093487)",IN TWO ROOMS ON FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL - OCTOBER BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M. FOR 16 PATRONS.
DORSET RESTAURANT GROUP LLC,12:00 AM,0,NULL,"772 Adams St, Dorchester MA","(42.2833826, -71.0554847)",On two (2) floors: First Floor: In one (1) room  with bar and dining area +/- 1 570 SF. Main entrance/ exit on Adams Street  three (3) additional exits: in the rear alley way adjacent to Minot street  in the kitchen  and the receiving dock. Kitchen: In rear +/- 320 SF. Basement Floor: storage and ad
"PABLA BROS., INC.",11:00 PM,76,NULL,"279 Newbury ST, Boston MA","(42.3494961, -71.0840861)",279 NEWBURY STREET IN ONE DINING ROOM STORAGE ROOM AND KITCHEN IN THE BASEMENT; SEASONAL PATIO WITH 50 PATRONS ON THE STREET LEVEL.
"J & J IRISH PUB & GRILLE, LTD",1:00 AM,84,NULL,"1128 Dorchester AV, Dorchester MA","(42.3123543, -71.0572143)",Rear exit for emergency and stock; in one room and kitchen on first floor; cellar for stock.
"KAY OASIS ENTERPRISES, INC.",2:00 AM,500,NULL,"1117 Blue Hill AV, Dorchester MA","(42.2863068, -71.091027)",IN ONE ROOM FIRST FLOOR WITH MEZZANINE AND KITCHEN - STORAGE IN THE BASEMENT.
"PARIS ENTERTAINMENT, INC.",2:00 AM,210,NULL,"1 Harrison Av, Boston MA","(42.3523488, -71.0615463)",In one room on first floor; One room and office with kitchen on the 2nd. floor; Basement for stock  Separated interior stairway in rear for emergency exit.  Capacity breakdown: 1st fl - 108; 2nd fl - 102.
"KBG, INC.",1:00 AM,99,NULL,"1410 Centre ST, Roslindale MA","(42.2939385, -71.1361877)",1410 and 1412 Centre Street - Rear entrance from alley on Knoll Street - Rear entrance for stock; In three rooms on first floor (one of which will be for stock) and Cellar for stock. Capacity breakdown: 62 seated  37 standing.
"KELLEY SQUARE PUB, INC.",1:00 AM,99,NULL,"84 Bennington ST, East Boston MA","(42.376206, -71.0356854)",ENTRANCE ON BENNINGTON STREET  REAR EMERGENCY EXIT TO PRIVATE PASSAGEWAY LEADING TO PARKING LOT; THREE ROOMS AND KITCHEN ON FIRST FLOOR  CELLAR FOR STOCK.
KING AND I CORPORATION,11:00 PM,76,NULL,"145 Charles ST, Boston MA","(42.3603616, -71.0706459)",In two rooms on the first floor with kitchen and storage in the center on the first floor.
"UNIQUE DESIGN CONCEPTS, LLC",2:00 AM,542,(781)329-6000,"Dalton St, Boston MA","(42.3464827, -71.08489229999999)",IN ONE ROOM ON GROUND FLOOR WITH KITCHEN  BAR DINING AREA  BOWLING LANES  PRIVATE FUNCTION SPACE  STORAGE AND OFFICE: MAIN ENTRANCE/EXIT ON DALTON STREET & EGRESS AT SIDE OF BUILDING.  CAPACITY BREAKDOWN: 160 @ LOUNGE; 134 @ BILLIARDS; 248 @ BOWLING.
THE KINGSTON GROUP LLC,2:00 AM,248,(617)875-0220,"25 Kingston ST, Boston MA","(42.3537274, -71.0592945)",In two rooms on the first floor  kitchen in the rear storage and office in the basement.  Capacity breakdown: 118 seated  92 standing.
"KO CATERING AND PIES, LLC",MIDNIGHT,28,NULL,"256 Marginal ST, East Boston MA","(42.3643818, -71.03348)",IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.
SHIN HA CORPORATION,1:00 AM,80,NULL,"122 Harvard AV, Allston MA","(42.3523726, -71.13171849999999)",IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.
"TANGIERINO LOUNGE, INC.",1:00 AM,140,NULL,"Main St, Charlestown MA","(42.3784708, -71.0681239)",MAIN ENTRANCE AT 73A MAIN STREET  SMOKING LOUNGE IN THREE ROOMS IN BASEMENT  PREP KITCHEN  STORAGE AND OFFICE.  CAPACITY BREAKDOWN: 60 SEATED; 80 STANDING.
"KOREAN FUSION, INC.",2:00 AM,64,(978)852-0113,"16 North ST, Boston MA","(42.360658, -71.05644339999999)",In one (1) room with main bar on the right hand side wall of restaurant with seventy-two (72 seats) and outside sidewalk dining area with twelve (12) seats.  Kitchen and cold storage located in the rear of the premises.  Premises consists of 3 193 sq. ft. of ground-level space  3 343 sq. ft. of lowe
AOB CORP.,10:00 PM,36,NULL,"108 L ST, South Boston MA","(42.3340511, -71.0350818)",In one room on the first floor  kitchen and storage in the rear
"CACHI, LLC",2:00 A.M.,28,NULL,"Sumner ST, East Boston MA","(42.3673495, -71.0362121)",IN ONE ROOM ON THE FIRST FLOOR  WITH KITCHEN IN THE REAR  BASEMENT FOR STORAGE; ENTRANCE/EXIT ON SUMNER STREET; EXIT UNTO PARIS STREET.
"505 CONGRESS STREET, LLC",2:00 AM,200,(617)875-4999,"505 Congress ST, Boston MA","(42.34803369999999, -71.0411874)",First floor of a 19-story building. Indoor Dining (+/- 6  394) including Bar Lounge with seating for thirteen (13)  Bar with seating for twenty-three (23); Jeep Willis with seating for eight (8)  Wishing Well with seating for twelve (12)  and Well Dining with seating for twenty-two (22); Ceviche Are
La Catrina LLC,11:00 p.m.,19,(617)383-5015,"1620 Commonwealth Av, Brighton MA","(42.3433246, -71.1426948)",In one room on the first floor with kitchen in the rear  and storage and prep area in the basement.
"R.J.A. ENTERPRISES, INC.",MIDNIGHT,125,NULL,"112 Salem ST, Boston MA","(42.3645627, -71.0556964)",STORAGE AND PREP AREA IN BASEMENT  KITCHEN AND DINING ROOM ON THE FIRST FLOOR  DINING ROOM AND STORAGE ON THE SECOND FLOOR.  CAPACITY BREAKDOWN: 1ST FL - 50; 2ND FL - 75.
"JULIO ESPANA, INDIVIDUAL",11:00 PM,19,NULL,"290 Bennington ST, East Boston MA","(42.3790268, -71.0285931)",In one room on the first floor; kitchen in the rear  storage in the basement.
"PAOLINA CORPORATION, INC.",11:00 PM,85,NULL,"123 Salem ST, Boston MA","(42.364662, -71.055359)",IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.
"CALLEJAS, INC.",2:00 AM,99,NULL,"144 Meridian ST, East Boston MA","(42.3738872, -71.0392411)",In six rooms on the first floor with kitchen service area and storage in the basement.
"BFAM, INC.",11:00 PM,124,NULL,"97 Mount Vernon ST, Boston MA","(42.35804359999999, -71.0697871)",IN FOUR ROOMS AND KITCHEN IN THE BASEMENT; SUB-BASEMENT FOR STOCK.
30 FLEET STREET CORPORATION,1:00 AM,74,NULL,"30 Fleet St, Boston MA","(42.364615, -71.0525514)",IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR.
"GM RESTAURANT ENTERPRISES, INC.",2:00 AM,80,NULL,"19 Bennington ST, East Boston MA","(42.3750651, -71.0379225)",In three floors  first floor to be used as a kitchen  dining room and service counter  second floor dining room  third floor for office space.  CAPACITY BREAKDOWN: 1ST FLOOR - 30  2ND FLOOR - 50.
"RAFAEL E. VERAS, INDIVIDUAL",MIDNIGHT,32,NULL,"302 Centre ST, Jamaica Plain MA","(42.3227206, -71.1032357)",In one room on the first floor; kitchen in the rear  storage in the basement.
WICKED COMEDY LLC,2:00 AM,400,NULL,"425 Summer ST, Boston MA","(42.34607889999999, -71.04299809999999)",6000 SQ FOOT COMMERCIAL THEATER SPACE ON 2ND FLOOR OF HOTEL WITH THREE (3) MEANS OF ACCESS/EGRESS (TWO IN FRONT OF SPACE  ONE IN REAR); WITH STAGE  SEATING  AND BAR IN MAIN ROOM  AND RESTROOMS  BOX OFFICE  GREEN ROOM  AND STORAGE SPACE ADJACENT THERETO.
"LEGAL SEA FOODS, LLC",2:00 AM,86,NULL,"Logan Airport Terminal B, East Boston MA","(42.3645508, -71.0195449)",A RESTAURANT OF APPROXIMATELY 2 986 SQUARE FEET LOCATED IN TERMINAL B  PIER A  CONSISTING OF A MAIN DINING ROOM AREA  A BAR WITH SEATING  TWO MAIN ENTRANCES/EXITS  AND ADDITIONAL SIDE ENTRY DOOR  FOOD SERVICE EQUIPMENT AND STORAGE IN THE REAR.
"LEGAL SEA FOODS, LLC",2:00 AM,175,NULL,"558 Washington St, Boston MA","(42.3536141, -71.0621006)",Restaurant (including take-out service of food and non-alcoholic beverages) and service of food  alcoholic and non-alcoholic beverages in a private residential club. Both the restaurant and private residential club are located on the ground floor of a
"LEGAL SEA FOODS, LLC",2:00 AM,809,NULL,"270 Northern AV, Boston MA","(42.3486426, -71.0377109)",A RESTAURANT LOCATED IN BUILDING B OF 242 NORTHERN AVENUE CONSISTING OF ONE ROOM ON EACH OF THE 2 FLOORS FOR DINING  KITCHEN & STORAGE LOCATED ON THE 1ST FLOOR IN THE REAR  A ROOF DECK & AN OUTDOOR DINING PATIO.  WITH ONE MAIN ENTRANCE/EXIT AND 5 ADDITIONAL EXITS.  THE OUTDOOR PATIO WILL BE LOCATED
"LEGAL SEA FOODS, LLC",1:00 AM,180,NULL,"10 City SQ, Charlestown MA","(42.3723837, -71.0616159)",In one room on the first floor; storage and kitchen in rear room and  secondly  to include an outdoor seasonal patio for up to twenty (20) seats  also to incorporate a private dining room in the rear of the premises seating thirty-five (35) patrons.  CAPACITY BREAKDOWN: 180 PERSONS TOTAL: PRIVATE DI
"LEGAL SEA FOODS, LLC",2:00 A.M.,45,NULL,"Logan Airport, Terminal B, East Boston MA","(42.3645508, -71.0195449)",SPACE KNOWN AS UNIT BA-A31 IN THE TERMINAL B CONNECTOR CONSISTING OF 1 160 SQUARE FEET. THE PREMISES CONSISTS OF A 32 SEAT BAR AND A LIMITED FOOD PREP AREA WHICH WILL NOT REQUIRE EXHAUST HOODS.  ADDING APPROXIMATELY 848 SQUARE FEET WITH AN ADDITIONAL 32 SEATS.
"LEGAL SEA FOODS, LLC",2:00 AM,130,NULL,"Logan Airport, Terminal C, East Boston MA","(42.367271, -71.017957)",ROOM 28 ON THE SECOND LEVEL  CONSISTING OF A DINING AREA  A KITCHEN  TWO STORAGE AREAS AND A COAT/LUGGAGE AREA.
"LEGAL SEA FOODS, LLC",2:00 AM,238,NULL,"255 State ST, Boston MA","(42.3593857, -71.0513553)",In two rooms on the first floor including a bar/lounge area; kitchen in the rear  two main entrances/exits and two emergency exits with storage in the basement  and a outdoor patio dining area for sixty (60) persons.
"LEGAL SEA FOODS, LLC",1:00 AM,420,NULL,"26 Park PZ, Boston MA","(42.3510123, -71.06797279999999)",A full service restaurant on two floors with bars  oyster bar and function seating and storage on cellar level  kitchen restaurant seating and bar on first level with two main entrance/exits and one fire exit.
"LEGAL SEA FOODS, LLC",2:00 AM,299,NULL,"100 Huntington Av, Boston MA","(42.347334, -71.0788745)",TWO LEVELS WITH EMPLOYEE LOCKERS AND MECHANICAL ROOM ON UPPER LEVEL; OFFICE  KITCHEN  2 DINING ROOMS AND FUNCTION ROOMS ON LOWER LEVEL.  ONE ENTRANCE & EXIT TO MALL  EGRESS FROM DINING ROOM AND SIDE EXIT TO MALL CORRIDOR  REAR EXIT TO SERVICE ELEVATOR.
"LEGAL SEAFOODS, LLC",2:00 AM,351,NULL,"800 Boylston ST, Boston MA","(42.348521, -71.0822975)",800 BOYLSTON STREET  LEVEL 2  PRUDENTIAL CENTER  WITH TWO ENTRANCES AND EXITS TO MALL CONCOURSE  IN ONE LARGE ROOM WITH LOUNGE  KITCHEN  AND STORAGE IN THE REAR.
Legal Sea Foods LLC,2:00 AM,115,(617)530-9000,"Logan Airport F-2 Terminal A, East Boston MA","(42.3656132, -71.0095602)",F-2 Logan Airport  Terminal A is actual address. Approximately 2 500 square feet in Terminal A on the mezzanine level. consisting of a dining area  kitchen and storage area.
JAMAICA PLAIN NO. 76 INC. OF THE AMERICAN,1:00 AM,140,NULL,"280 South ST, Jamaica Plain MA","(42.3008166, -71.1146881)",No Transfer of ownership  ch 1161  Acts of 1973 License originally Issued 1982.
"THE LENOX HOTEL,L.L.C",2:00 AM,0,NULL,"61 Exeter ST, Boston MA","(42.3491811, -71.0796293)",706-712 BOYLSTON ST: 61  69 EXETER ST  IN WHOLE OF SAID BLDG & TO INCLUDE A SEASONAL SIDEWALK CAFE FOR 14 PATRONS THEREBY DELETING IN ONE ROOM ON 1ST FLR (EXETER ROOM)  THEREBY DELETING FROM THE LICENSED PREMISES 704 BOYLSTON ST & A REAR DELIVERY DOOR ON E.  61 69 EXETER STREET  BOSTON  MA  02116
"LE, INC.",11:00 PM,159,NULL,"137 Brighton AV, Allston MA","(42.3531491, -71.1313614)",In three rooms on the first floor with kitchen and storage in the rear.
IN VINO VERITAS BISTRO LLC,1:00 AM,150,NULL,"129 South ST, Boston MA","(42.3512067, -71.0575214)",In two rooms on the first floor with kitchen and storage in rear.  Total sq foot: 5 826.  Number of entrances/exits: 3
"NEW FRANCE - BACK BAY, LLC",2:00 AM,372,NULL,"776 Boylston ST, Boston MA","(42.3487748, -71.0813479)",SEL DE LA TERRE 1ST FLOOR CAFE/BAR; KITCHEN & STORAGE IN REAR WITH CAPACITY FOR 56 PATRONS (32 SEATED  24 STANDING) AND 3RD FLOOR DINING ROOM FOR 187 PATRONS (169 SEATED  18 STANDING) AND 800 SQUARE FOOT INDOOR PATIO WITH 52 SEATS LOCATED ADJACENT TO THE LICENSED PREMISES WITHIN THE PRUDENTIAL CENTE
"GEORGE'S RESTAURANT & LOUNGE, INC.",1:00 AM,134,NULL,"323 Washington ST, Dorchester MA","(42.2998613, -71.0745457)",IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR; AND ONE FUNCTION ROOM IN BASEMENT ALONG WITH STORAGE. CAPACITY BREAKDOWN: 1ST FL 35; BASEMENT FUNCTION HALL 99.
DON'T LOOK BACK LESSEE,2:00 AM,0,NULL,"215 Charles ST, Boston MA","(42.3621448, -71.070112)",IN WHOLE OF SAID BUILDING WITH THE EXCEPTION OF THE FIRST FLOOR RESTAURANT  BAR  KITCHEN AND STORAGE  ON THE FIRST FLOOR AND TWO OUTDOOR SEASONAL SEATING AREAS ADJACENT THERETO.
"W ENTERTAINMENT GROUP, INC.",2:00 AM,113,NULL,"204 Tremont ST, Boston MA","(42.3518343, -71.0645073)",Ground floor restaurant divided into 12 rooms  kitchen and storage in rear.  Entrance and exit in the front and rear of the building.
"RISTORANTE LIMONCELLO, INC.",1:00 AM,120,NULL,"190 North ST, Boston MA","(42.363438, -71.0540018)",EXITS IN REAR; IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR; CELLAR FOR STOCK.
"LINCOLN BAR & GRILL, INC.",1:00 AM,76,NULL,"8 Lincoln ST, Brighton MA","(42.35888660000001, -71.14696359999999)",Unnumbered entrance adjoining 8 Lincoln St; two emergency exits; bulkhead entrance for stock - in two rooms & kitchen first floor; cellar for stock.  To add an outside seasonal patio on private property from April 1st-October 31st for 16 patrons between the hours of 11:00 a.m.-10:00 p.m.
Liquid Art Boston L L C,11:30 PM,220,NULL,"100 Arlington ST, Boston MA","(42.3499842, -71.0695033)",On the first floor  in three rooms: Main dining room  additional dining area with full-service bar and supplemental private dining area.  Kitchen and storage located in rear; bathrooms  office and additional storage located in basement.
"GEORGE BEST, INC.",2:00 AM,355,NULL,"903 Boylston ST, Boston MA","(42.3484207, -71.0842022)",IN ONE ROOM  KITCHEN AND LOUNGE AREA ON FIRST FLOOR; FUNCTION ROOM ON SECOND FLOOR; IN ONE ROOM FOR PATRON OCCUPANCY AND STORAGE IN BASEMENT.  EXIT TO ALLEY IN REAR.  Capacity breakdown: 1st fl - 117; 2nd fl - 102; basement - 136.
"TY RESTAURANT GROUP, INC.",2:00 AM,99,NULL,"991 Bennington ST, East Boston MA","(42.3863639, -71.0070896)",In three rooms & Kitchen first floor-storage in the basement
"Little Q Company, Inc.",2:00 a.m.,78,(626)807-7739,"660 Washington St, Boston MA","(42.3518415, -71.0624303)",In one room on ground floor; entrance on Washington and exits to Beach Street and building common area; kitchen and storage in the rear.
"LITTLE STEVE'S PIZZA, INC",1:00 AM,85,NULL,"1114 Boylston St, Boston MA","(42.3467399, -71.0885406)",ONE ROOM FIRST FLOOR.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL - OCTOBER FOR 16 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.
ASSOCIATES AND LEISURE ACTIVITIES LLC,2:00 AM,1201,NULL,"246 Tremont ST, Boston MA","(42.3507311, -71.0647252)",246 TREMONT STREET (UPPER LEVELS) IN WHOLE OF SAID BUILDING  EXCEPTING THEREFROM THE ROOM IN LOWER LEVEL WHICH IS THE ARIA NIGHTCLUB.
"HAMACHI SERVERS, INC.",1:00 AM,94,NULL,"823 E Sixth ST, South Boston MA","(42.333184, -71.02736449999999)",IN ONE ROOM ON FIRST FLOOR  WITH KITCHEN IN REAR; MAIN ENTRANCE ON EAST SIXTH STREET AND EMERGENCY EXIT ON P STREET AND CELLAR FOR STOCK AND OFFICE. (MANAGEMENT AGREEMENT APPROVED BY BLB AND ABCC BETWEEN HAMACHI SERVERS  INC. AND HAMACHI LLC).
"LOCALE, INC.",11:00 PM,18,NULL,"350 Hanover ST, Boston MA","(42.365118, -71.053387)",APPROXIMATELY 800 SQUARE FEET OF SPACE LOCATED ON FIRST FLOOR OF PREMISES WHICH INCLUDES KITCHEN  9 TABLES & 18 SEATS.  ALL ENTRANCE AND EXITS ARE LOCATED ON HANOVER STREET.  CLOSING HOUR SUNDAY-THURSDAY 11:00 AM-11:00 PM.  FRIDAY-SATURDAY 11:00-MIDNIGHT.
"Broadway Restaurant, LLC",1:00 AM,177,(617)268-2821,"412 W Broadway, South Boston MA","(42.3370569, -71.04766430000001)",In one room with kitchen and storage in rear; restrooms and storage in basement; main entrance and exits on West Broadway.
"BROOK EGG FARM, INC.",11:00 PM,99,NULL,"116 Salem ST, Boston MA","(42.3646818, -71.0556217)",IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR; STORAGE IN REAR AND EXTEND THE DINING ROOM TO THE SECOND FLOOR.  CAPACITY BREAKDOWN: 1ST FL - 76; 2ND FL - 23.
"LBV HOTEL, LLC",2:00 AM,0,NULL,"154 Berkeley ST, Boston MA","(42.34919379999999, -71.0725262)",IN WHOLE OF SAID BUILDING.  INCLUDES AN OUTDOOR SEASONAL (APRIL-OCTOBER) PATIO ON PRIVATE PROPERTY FOR 90 PATRONS.
"TASTES ON THE FLY BOSTON, LLC",2:00 a.m.,60,(617)567-2277,"Logan Airport, Terminal C, East Boston MA","(42.367271, -71.017957)",A 5 300 sq. ft. area  with a kitchen and rooms for travelers to store luggage  shower  pray  have quiet space  and dine. 1 men's and 1 women's room and storage area in terminal C  Pier B.
"LOLITA BOSTON, LLC",2:00 AM,243,NULL,"271 Dartmouth ST, Boston MA","(42.3507376, -71.07726579999999)",ENTRANCE FROM LOBBY; SIDE ENTRANCE FROM ALLEY FOR STOCK; IN TWO ROOMS AND KITCHEN ON FIRST FLOOR; TWO STOCK ROOMS IN BASEMENT; AND OUTDOOR SEASONAL PATIO ON DPW LAND FROM APRIL THROUGH OCTOBER FOR 10 PATRONS.  CAPACITY: 12 @ BAR STOOLS; 146 @ TABLES & CHAIRS; 85 STANDING.
LONGWOOD HOTEL CORP.,2:00 AM,0,NULL,"342 Longwood AV, Boston MA","(42.3383407, -71.1066156)",IN WHOLE OF SAID BUILDING.  (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.)
"IPSWICH ENTERTAINMENT, INC.",2:00 AM,267,NULL,"1 Lansdowne ST, Boston MA","(42.3473143, -71.0944726)",IN ONE ROOM ON FIRST FLOOR WITH EMERGENCY EXIT ON LANSDOWNE STREET WITH KITCHEN AND STORAGE IN REAR AND TO INCLUDE AN OUTDOOR PATIO ON PRIVATE PROPERTY FOR 32 PATRONS BETWEEN THE HOURS OF 5:00 P.M. TO 2:00 A.M. INSIDE CAPACITY BREAKDOWN: 70 SEATED; 33 @ BAR SEATING; 81 STANDING.
"LOS ARRIEROS RESTAURANT, INC.",MIDNIGHT,39,NULL,"13 Meridian ST, East Boston MA","(42.37460249999999, -71.0388971)",IN ONE ROOM ON THE GROUND FLOOR  KITCHEN AREA IN THE REAR  STORAGE IN THE BASEMENT.
"L'OSTERIA, INC.",11:00 PM,78,NULL,"Salem ST, Boston MA","(42.3650239, -71.0554801)",@104 SALEM STREET: IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR  AND CELLAR FOR STOCK.  CAPACITY BREAKDOWN: 1ST FL - 48; 2ND FL - 30.
"LEGAL SEA FOODS, LLC",2:00 AM,166,NULL,"225 Northern Av, Boston MA","(42.3483314, -71.0385873)",IN TWO ROOMS ON THE GROUND FLOOR; KITCHEN AND STORAGE IN THE REAR AND TO INCLUDE  OUTDOOR SEASONAL DINING FROM APRIL THROUGH OCTOBER FOR 32 PATRONS ON PRIVATE PROPERTY.
UKUSA CORP.,1:00 AM,252,NULL,"224 Hanover ST, Boston MA","(42.3630838, -71.0553209)",ON 2ND LEVEL IN ONE ROOM BASEMENT LEVEL BAR AND DINING ROOM  KITCHEN IN THE REAR; OFFICE AND STORAGE IN REAR.  FIRST FLOOR BAR AND DINING ROOM AND  TO INCLUDE AN ADDITIONAL DINING AREA AT ADJACENT SPACE LOCATED AT 224 HANOVER STREET.
"LUCCA HOLDINGS, INC.",2:00 AM,200,NULL,"116 Huntington AV, Boston MA","(42.3465172, -71.0797918)",TWO ROOMS  KITCHEN AND STORAGE AREA ON THE FIRST FLOOR AND MEZZANINE.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 12 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.  CAPACITY BREAKDOWN: 1ST FL - 156  2ND FL - 44.
DONATO DONATO GIANNI LLC,1:00 AM,190,NULL,"415 Hanover ST, Boston MA","(42.3655684, -71.0526786)",Rear exit 8 Harris St; in two rooms on the first floor  one room in basement for patrons & one room for stock; one room on second floor for patrons & one room for office & stock.
"CONGRESS FINE DINING, LLC",2:00 AM,240,NULL,"355 Congress ST, Boston MA","(42.3500305, -71.04852319999999)",UNNUMBERED SIDE ENTRANCE  ON A STREET  REAR ROOM FOR STOCK; ON SECOND FLOOR; IN ONE ROOM; ENTRANCE/EXIT ON CONGRESS ST. AND A ST. ENTRANCE/EXIT ON PRIVATE WAY IN REAR FOR DELIVERIES. NO MORE THAN 85 STANDING.
"LUCKY'S AIRPORT, LLC",2:00 AM,80,NULL,"Logan Airport Terminal A #26, East Boston MA","(42.3660523, -71.0204662)",IN SPACE #26 WITH OPEN STORE FRONTS ON CONCOURSE ON THE UPPER LEVEL; KITCHEN AND STORAGE IN THEN REAR.
FLIK INTERNATIONAL CORP.,2:00 AM,142,NULL,"500 Logan Airport Terminal E, East Boston MA","(42.37026849999999, -71.0191923)","TWO CONNECTED AIRPORT PASSENGER LOUNGES FOR LUFTHANSA AIRLINES REFERRED TO AS  ""SENATOR LOUNGE"" AND ""BUSINESS LOUNGE"".  SENATOR LOUNGE IS 2 682 SQUARE FEET AND HAS A SEATING CAPACITY OF 51.  THE BUSINESS LOUNGE IS 1 577 SQUARE FEET AND HAS A SEATING CAPACITY OF 43."
"Murampo, Inc.",2:00 AM,117,NULL,"421 Cambridge St, Allston MA","(42.3550999, -71.1341557)",2100 square feet  in two rooms  kitchen and storage on the first floor.  One (1) main entrance/exit and three (3) additional exits in rear.  Pursuant to authority contained in Chapter 481 of the Acts of 1994.
LYRIC STAGE COMPANY,11:00 PM,244,NULL,"140 Clarendon ST, Boston MA","(42.3486204, -71.0745635)",140 CLARENDON STREET; ON THE SECOND FLOOR THEATRE AND LOBBY.
"MACUMBA LATINA, INC.",2:00 AM,260,NULL,"477 River St, Mattapan MA","(42.2681303, -71.0930307)",Three emergency exits; in two rooms and kitchen on the first floor; cellar for stock.  Capacity breakdown: 208 standing  52 seating.
MAGGIANO'S HOLDING CORPORATION,2:00 AM,480,NULL,"4 Columbus AV, Boston MA","(42.3510373, -71.0684935)",Entrance to the basement from the ground floor dining area via stairs  emergency exit from basement to exit corridor and exit stairs to Stuart Street  emergency exit from ground floor to Church Street and Columbus Avenue  kitchen and stockroom on ground floor  banquet and kitchen in basement  and to
"PANDA SPICY POT, INC.",1:00 AM,43,(617)888-5366,"129 Brighton AV, Allston MA","(42.3531153, -71.1310864)",In one room on the street level consisting of a dining area  kitchen and storage area; basement for storage
"LAZARO ORELLANA, INDIVIDUAL",10:00 PM,40,NULL,"1045 Saratoga St, East Boston MA","(42.3859192, -71.00509180000002)",IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  BASEMENT FOR STOCK.
"BUCCELLATI, INC.",MIDNIGHT,76,NULL,"3 North SQ, Boston MA","(42.364054, -71.0533169)",Side exit for emergency and stock leading to unnumbered exit on Garden Street; in one room and kitchen on first floor; one room on second floor.  Capacity breakdown: 1st fl - 48; 2nd fl - 28.
